date,business_name,category,base_area,contact_email,status,notes
2026-08-31,Lutrina Practice & Clinic,healthcare,kaiserslautern,info@lutrinaclinic-us.com,sent,Kaiserslautern orthopedic/sports medicine clinic with dedicated English-language line for American patients led by Dr. Sascha J. Hopp
2026-08-31,Counseling Germany,healthcare,kaiserslautern,intake@counseling-germany.com,sent,Telehealth-only TRICARE Overseas Program mental health practice reaching every US installation in Germany incl. Ramstein/KMC
2026-08-31,Dr. Michelle Ferrell PsyD (East to West Counseling),healthcare,kaiserslautern,mferrell@easttowestcounseling.com,researched,US-licensed clinical psychologist offering English-language telehealth counseling to Stuttgart/Kaiserslautern/Ramstein-Miesenbach/Baumholder - queued for a future run
2026-08-31,Elite Group Therapy (E.G.T. Ramstein),healthcare,kaiserslautern,,skipped_no_email,Physical/massage therapy clinic 10 min from Ramstein AB serving KMC since 2018 TRICARE/FSBP accepted - email Cloudflare-obfuscated on contact page, use https://www.elitegrouptherapy.com/contact form or booking at https://egtramstein.setmore.com/
2026-08-31,Knospe-Lerncenter Ramstein,healthcare,kaiserslautern,,skipped_no_email,TRICARE Overseas Program preferred provider for pediatric/adult ABA/speech/OT/PT serving Baumholder/Kaiserslautern/Landstuhl/Ramstein - no published email found; phone +49 5722 9098399 (EN/DE) or https://knospe-lerncenter.com/contact/ form
2026-09-01,Roth TLA,real-estate,kaiserslautern,info@roth-tla.com,sent,"Furnished TLA apartments in Ramstein/Steinwenden/Schwedelbach - re-verified still active (roth-tla.com live w/ current property listings) before sending; previously queued 2026-08-28"
2026-09-01,TLA Office,real-estate,kaiserslautern,info@tla-office.com,sent,"33 properties near Ramstein/KMC/Landstuhl Regional Medical Center, no-call-center model w/ published guest reviews page - re-verified still active before sending; previously queued 2026-08-28"
2026-09-01,TLA Ramstein (DODSC),real-estate,kaiserslautern,bookings@tla-ramstein.com,sent,"Furnished off-base lodging w/ free rental car included, pet-friendly, DoD-approved rates - re-verified still active (site live, Feb 2026 availability notes, positive testimonials) before sending; previously queued 2026-08-28"
2026-09-01,Dr. Michelle Ferrell PsyD (East to West Counseling),healthcare,kaiserslautern,mferrell@easttowestcounseling.com,sent,"US-licensed clinical psychologist, English telehealth reaching Stuttgart/Kaiserslautern/Ramstein-Miesenbach/Baumholder - re-verified drmichelleferrell.com still live before sending; previously queued 2026-08-31"
2026-09-01,Mr. Perfect Services,home-services,kaiserslautern,info@mr-perfect-services.com,sent,"NEW category opened for KMC. Founded 2014 for stress-free military PCS moves; moving/cleaning/pressure washing/junk removal/lawn care across Kaiserslautern/Ramstein/Landstuhl/Baumholder/Spangdahlem/Weilerbach/Wiesbaden; testimonials confirm English-speaking staff, active Facebook page"
2026-09-01,Clean Team Ramstein,home-services,kaiserslautern,cleanteamramstein@gmail.com,researched,"English/German/Bulgarian-speaking move-in/move-out/PCS cleaning near Ramstein - verified active (Facebook page, Contact Us page live) but no send budget left today; queued for a future run"
2026-09-02,Clean Team Ramstein,home-services,kaiserslautern,cleanteamramstein@gmail.com,sent,"Previously queued 2026-09-01; re-verified active (cleanteamramstein.eu live, Contact Us page, Facebook page current) before sending. PCS move-in/move-out cleaning, English/German/Bulgarian-speaking, based in Ramstein-Miesenbach"
2026-09-02,The Parlour,restaurants,kaiserslautern,contact@parlour-cakes.com,sent,"NEW category opened for KMC. Breakfast/lunch boutique in downtown Landstuhl (Schulstrasse 4), converted from a barber shop; Stars and Stripes feature + steady 2026 Yelp reviews confirm strong military-community following"
2026-09-02,Fiesta Mexicana,restaurants,kaiserslautern,info@fiestamexicanafood.com,sent,"Mexican restaurant in Mackenbach (Jahnstr. 26) near Ramstein AB - street tacos/gluten-free menu, 55 Yelp reviews updated May 2026, OpenTable + Tripadvisor listings show steady American patronage"
2026-09-02,KIKO Sushi & Grill,restaurants,kaiserslautern,info@kiko-kl.de,sent,"Sushi/grill restaurant in central Kaiserslautern (Europaallee 10) - koi pond ambiance, vegan/vegetarian options, 4.7 rating, featured in Tripadvisor's 2026 best-sushi list"
2026-09-02,Termeh Persian Restaurant,restaurants,kaiserslautern,info@termehfood.com,sent,"Persian restaurant in Kaiserslautern (Kaiserstrasse 10) - Stars and Stripes covered its delivery expansion for the military community; Yelp updated January 2026"
2026-09-03,United Furniture Landstuhl,shopping,kaiserslautern,service@unitedfurniture.today,sent,"NEW category opened for KMC. American-family-owned furniture store (est. 1967, Wiesbaden origin) 5 min from Ramstein Main Gate/10 min West Gate at Bahnstr. 8 Landstuhl - specializes in American-style bed sizes; active site + Yelp/Facebook, 5-year customer review confirms ongoing service quality"
2026-09-03,Tailor Shop Kaiserslautern,shopping,kaiserslautern,info@tailor-shop.de,sent,"Alterations/dry cleaning/laundry/name tapes+plates shop serving the military since 1989 across Kaiserslautern/Ramstein/Landstuhl/Sembach (Im Haderwald 4); Yelp updated August 2026, no closure signal"
2026-09-03,Alpha Buchhandlung Landstuhl,shopping,kaiserslautern,landstuhl@alpha-buch.de,sent,"Christian bookstore w/ dedicated English-language book selection + gift items (locally made wooden crosses) at Eichenstr. 61 Landstuhl, run by manager Sabine Gehrhardt; active current listings, only a seasonal Aug 10-22 closure noted, no permanent closure signal"
2026-09-03,Lachmann's (Lachmann-Schaberick Specialities),shopping,kaiserslautern,info@lachmanns.de,sent,"Engraving/trophies/awards/plaques shop since 1952 - on-base Ramstein Bldg 2113 plus an off-base Mackenbach storefront (Gartenstr. 4); ownership recently transitioned to Fiona Batista Meier per business registry but shop still operating under the Lachmann's name/email, active Facebook + Yelp Nov 2025 update"
2026-09-03,Goldschmiede Nikl,shopping,kaiserslautern,info@nikl-goldschmiede.de,sent,"Family goldsmith/jeweler in Ramstein-Miesenbach (Miesenbacher Str. 5) offering English/German service, gold buying, watch repair; active site w/ current storefront photo page, no closure signal"
2026-09-03,RESA Thrift Shop,shopping,kaiserslautern,,researched,"Ramstein Enlisted Spouses' Association thrift shop on Ramstein AB (email resa.manager@gmail.com found, so not technically no-email) - base-access-only nonprofit spouse-club shop, same poor directory fit as Patch Thrift Shop (Stuttgart) precedent; logged so it isn't re-researched, not recommended for send without owner input"
2026-09-03,KLSA Landstuhl Thrift Shop,shopping,kaiserslautern,,researched,"Kaiserslautern Landstuhl Spouses' Association thrift shop, Landstuhl Bldg 3818 (email theshop@klsa.org found, so not technically no-email) - base-access-only nonprofit spouse-club shop, same poor directory fit as Patch Thrift Shop (Stuttgart) precedent; logged so it isn't re-researched, not recommended for send without owner input"
2026-09-04,RFP Tax Advice (RFP Steuerberatung GmbH),legal-business,kaiserslautern,ramstein@rfp.tax,sent,"NEW category opened for KMC. English-speaking tax advisory firm in Ramstein-Miesenbach (Kreuzhof 4) founded 1986, dedicated Kaiserslautern office too (Scheidstrasse 1); site explicitly covers SOFA status/Certificate of Coverage/German tax filings for the U.S. military community, testimonials confirm ongoing English service, no closure signal"
2026-09-04,Kanzlei Albrecht (Detlev Albrecht),legal-business,kaiserslautern,mail@kanzlei-albrecht.com,sent,"Kaiserslautern tax-law specialist attorney (Eisenbahnstrasse 8-10) handling ~50 cases for American servicemembers disputing German tax authorities over NATO SOFA exemptions per published reporting; active site (Impressum/Kontakt/DSGVO pages current), no closure signal"
2026-09-04,Rechtsanwalt Wolfgang Frisch,legal-business,kaiserslautern,wolfgangfrischra@web.de,sent,"General practice attorney in Kaiserslautern (Rummelstr. 12) on the U.S. Consulate Frankfurt's official referral list of attorneys - civil/family/traffic/inheritance law, 30 years practicing; active site rechtsanwalt-frisch.de, positive reviews, no closure signal"
2026-09-04,Kanzlei Christin Lehné,legal-business,kaiserslautern,info@kanzleilehne.de,sent,"Family law specialist (Fachanwaeltin) in Landstuhl (Hauptstrasse 37) since 1999, minutes from Ramstein AB/LRMC, focus on international family law incl. cross-border custody/divorce - listed in fachanwalt.de's 2025 Landstuhl rankings, active site kanzleilehne.de, no closure signal"
2026-09-04,Law Office of Will M. Helixon (Helixon Group),legal-business,kaiserslautern,,skipped_no_email,"Military defense/court-martial attorney serving KMC/Wiesbaden/Vilseck (Germany office, Facebook page 'helixonlaw' active) - contact page email appears Cloudflare-obfuscated, search results returned inconsistent/unverifiable address each time so treated as not-published; use https://helixongroup.com/contact-us/ form or phone +49 152 29900341 instead"
2026-09-07,Mathe Coach (Samira Fattal / mathehilfe-online.de),education,kaiserslautern,coach@mathehilfe-online.de,sent,"NEW category opened for KMC. English math tutoring (Nachhilfe) for DoDEA/American students near Ramstein/Landstuhl/Vogelweh/Sembach, one-on-one and small-group, every lesson taught in English; site updated April 2026, positive parent testimonials, no closure signal"
2026-09-07,International School Westpfalz (ISW),education,kaiserslautern,info@is-westpfalz.de,sent,"Private Cambridge-curriculum English-language school in Landstuhl, ages 4-18, 220+ students from 30+ nations; active site w/ June 2026 school-event news, published admissions/contact pages, no closure signal"
2026-09-07,Agape International Academy,education,kaiserslautern,academy@agapecfc.org,sent,"K-6 Christian international school at the Ramstein West Gate (Ramstein-Miesenbach) - founded 1999 for American military families, opened to wider international community 2001; active Yelp review praises pre-K program, no closure signal"
2026-09-07,Faith Baptist School (Faith Baptist Church),education,kaiserslautern,secretary@faithbaptistchurch.de,sent,"Pre-K-6th grade Christian school serving Kaiserslautern military community families since 1987, run by School Director Katherine Lilly; active Facebook page w/ 2026 registration post, no closure signal"
2026-09-07,St David's School (British International School),education,kaiserslautern,,skipped_no_email,"British international school in Ramstein (Schulstrasse 4) ages 3-11, values-based curriculum + German lessons - no published email found across own site or listings; use https://stdavids.school/contact-us-main/ contact form or phone +49 6371 42717"
2026-09-07,Children's Learning Academy (Kids Learning Center),education,kaiserslautern,,skipped_no_email,"Preschool/daycare in Mackenbach (Siedlung 19b) - no published email found in search results; Yelp listing updated January 2026 (still appears active) but only a Facebook page and phone/location found, no direct email; use Facebook page or in-person visit"
2026-09-08,Sarah Havens Photography,hbb,kaiserslautern,hello@sarah-havens-photography.com,sent,"NEW category opened for KMC hbb (military-spouse-run home businesses). Family/motherhood/self-love storytelling portrait photographer serving Kaiserslautern/Ramstein/Landstuhl; 100% recommend on 30 Facebook reviews, active blog/YouTube, no closure signal"
2026-09-08,Lena Jones Doula & Birth Photography,hbb,kaiserslautern,birth@lenajones.com,sent,"DONA-certified doula (2023 DiD-Doula cert) + Beauty in Birth-trained birth photographer, also offers breastfeeding prep/childbirth classes; serves Kaiserslautern/Landstuhl/Mainz/Wiesbaden; active site w/ classes/portfolio pages, no closure signal"
2026-09-08,Studio MS Photography,hbb,kaiserslautern,info@studio-ms-photography.com,sent,"Family/newborn/kids/couples/pet photographer run by Maud Schoenmaekers since 2016, based Matzenbach near Ramstein/Kaiserslautern; active site w/ testimonials page + Facebook, no closure signal"
2026-09-08,Gerardini Photo (Pete Gerardini),hbb,kaiserslautern,pgerardini@gmail.com,sent,"Portrait photographer in Kaiserslautern (KMC/Ramstein) - American/Italian dual citizen, IT/training-design background; site shows active 2026 seasonal sessions (Fall Colors Mini 2026), email from own Impressum page, no closure signal"
2026-09-08,Porscha Herron Personal Training,hbb,kaiserslautern,porscha.herron@gmail.com,sent,"Bodyweight/light-weight personal trainer listed on the official Kaiserslautern Army MWR Sports & Fitness Personal Trainers roster (current live listing); no personal site/Maps listing to check but official MWR roster confirms active status"
2026-09-09,Thompson Cleaning Service KMC (housecleaning-service.com),home-services,kaiserslautern,cthompson@t-online.de,sent,"Cleaning company in Ramstein/Kaiserslautern founded 2008 by Cornelia Thompson - 20+ years experience as a cleaning supervisor in U.S. hospitals and American schools; active site, no closure signal"
2026-09-09,G&G International Movers GmbH,home-services,kaiserslautern,info@internationalmovers.de,sent,"International/local movers based in Landstuhl (Raiffeisenstrasse 17) just up the road from Ramstein AB - 23 years of military moves experience, considers the U.S. military its largest international business partner; Facebook shows 'Open now', active site, no closure signal"
2026-09-09,Moebelspedition Sander (Eduard Sander Moebelspedition GmbH),home-services,kaiserslautern,info@umzuege-sander.de,sent,"Established 1880 moving company in Kaiserslautern (Von-Miller-Str. 9a) - local + international moves, office moves, furniture delivery/assembly, overseas shipments; multiple directory listings show current/open status through 2026, no closure signal"
2026-09-09,Teppichreinigung24 (Suedwest GmbH & Co. KG),home-services,kaiserslautern,info@teppichreinigung24.de,sent,"Rug/upholstery/mattress cleaning company in Ramstein-Miesenbach (Spesbacher Str. 24b), 50+ years experience, dedicated English-language site version; site fully indexed/active (legal notice, contact, gallery pages all live), no closure signal found though no reviews turned up"
2026-09-09,Mike & Mike Cleaning Services,home-services,kaiserslautern,,skipped_no_email,"Trash/junk removal, cleaning, yard work, PCS cleaning, local moving, painting in Kaiserslautern area - site (mike-mike-cleaningservices.com) live but no email found in search snippets (search returned only a redacted placeholder, not a real address) - use WhatsApp/phone +4917642224899 instead"
2026-09-09,Mr. Prosper Express Services,home-services,kaiserslautern,,skipped_no_email,"KMC local moving/cleaning/lawn care/junk removal in Kaiserslautern/Ramstein (mr-prosper-express-services.com) - no published email found in search snippets, no owner name found either; worth a follow-up search or a visit to their contact page next run"
2026-09-09,Karakoc Gebaeudeservice,home-services,kaiserslautern,,skipped_no_email,"Janitorial/Hausmeister/garden/winter service company in Kaiserslautern (Reichswaldstr. 81) - German-language-only site, no published email found, phone only (0176 24629701); lower priority fit given no evident English service, logged so it isn't re-researched"
2026-09-09,Move Clean Perfect (movecleanperfect.com),home-services,kaiserslautern,,researched,"DO NOT EMAIL - trust/safety flag, not a closure issue. Site lists 'US Army Base Germany' address but the only email found was princeabiola1000@gmail.com (unrelated personal name, classic PCS-moving-scam pattern) alongside a Missouri (314) phone number mixed with German mobile numbers - inconsistent with a real local KMC business. Not recommended for outreach or the directory without the site owner's own diligence; logged so a future run doesn't re-research or email it."
2026-09-10,Trophy Center (Kulbick),shopping,kaiserslautern,info@trophy-center.de,sent,"3rd-generation family engraving/awards/trophy shop in Kaiserslautern-Einsiedlerhof (Weilerbacher Str. 110, under Hacienda Mexican Restaurant) - site explicitly states NOT affiliated with any on-base store, serves USAREUR-AF/USAFE community, accepts VAT forms/PayPal; active site, no closure signal"
2026-09-10,StimmWerkstatt (Andrea),education,kaiserslautern,andiaaa@hotmail.com,sent,"German language lessons built for English speakers plus piano/singing lessons at Ziegelhuette 2 Ramstein-Miesenbach (same building as American Business Center); 5.0 rating/26 reviews on ReviewHero, active listing, no closure signal"
2026-09-10,Marta Sobczak Photography,hbb,kaiserslautern,info@martasobczak.com,sent,"NEW hbb depth beyond the 5 already contacted. English-speaking photographer in Kaiserslautern (Marktstrasse 12/Im Reiserfeld) offering newborn/family/maternity sessions that come to the client's home on or off base; site updated March 2026, active Instagram/Facebook, no closure signal"
2026-09-10,Military Services Germany (Kaesemann Catering / Chef Christian),restaurants,kaiserslautern,office@military-services.com,sent,"Full-service catering company in Kaiserslautern (Arizona Boulevard 1036) run by Christian Kaesemann - company name itself signals US military focus, handles changes of command/retirement ceremonies/personal events per MWR catering folder; active site + Facebook (usarmycatering), no closure signal"
2026-09-10,Cravings Corner Co,hbb,kaiserslautern,,skipped_no_email,"Home bakery (cookies/cake pops/baklava/custom sugar cookies), military-spouse-run - re-checked again, still only a Hotplate ordering page (hotplate.com/cravingscornerco) and Facebook page, no published email found in search snippets"
2026-09-10,Sparky's Cheesecake,hbb,kaiserslautern,,skipped_no_email,"American-style cheesecakes serving KMC/Baumholder - re-checked again, still only Facebook/Instagram/Linktree, no published email found in search snippets"
2026-09-10,KlaudiAlmonteFitness (Klaudia Almonte),hbb,kaiserslautern,,skipped_no_email,"Online coaching/nutrition/fitness trainer, military spouse (NASM CPT), Ramstein AB trainer per Instagram bio - site has a dedicated contact page (klaudialmontefitness.com/contact) but no email address appears in search snippets; worth a follow-up look at the contact page directly next run"
2026-09-10,Sophia's Makeup Artist Services,hbb,kaiserslautern,,skipped_no_email,"Mobile makeup artist based Ramstein-Miesenbach, travels Kaiserslautern/Landstuhl/Ramstein/Mackenbach - listed on Find-It Guide + active Facebook (beautybysoapp), but no email address found in search snippets (bookings via FB/Instagram/message per page)"
2026-09-10,Certified Interpreter & Translator,legal-business,kaiserslautern,,skipped_no_email,"In-house translator/interpreter near Vogelweh (marriage/school/medical/divorce documents, court/notary interpreting) on Find-It Guide - listing explicitly states no email, cell phone, or internet contact due to Privacy Act/document legality; phone-free, in-person only, not a fit for email outreach"
2026-09-11,Notar Dr. David Siegel,legal-business,kaiserslautern,info@notar-siegel.de,sent,"Civil-law notary in Landstuhl (Kaiserstrasse 50) who took over the post Oct 2025 - grew up partly in the Kaiserslautern area and the Midwest US, notarizes/certifies property purchases/business setup/contracts in clear English; own site + local Rheinpfalz news article confirm active, no closure signal"
2026-09-11,Top Gun Tax Solutions (Terry L. Dickerson),legal-business,kaiserslautern,taxpro.dickersont@gmail.com,sent,"US tax prep/federal+state consultations/FBAR compliance in Kaiserslautern (44 Merkurstrasse); active Find-It Guide + LinkedIn listings, no closure signal"
2026-09-11,Walsh Agency (Petra Nusbaum-Sallis),legal-business,kaiserslautern,p.nusbaum@gmx.net,sent,"IHK-licensed insurance broker (Versicherungsmakler Section 34d) 38+ years in business, Kaiserstrasse 6 Kaiserslautern - 2026 Yelp review calls the process 'the easiest ... in my time in Germany'; active listing, no closure signal"
2026-09-11,Winter Agency (Atlantic Trust Insurance Brokers GmbH),legal-business,kaiserslautern,ramstein@winter-insurance.de,sent,"Vehicle insurance for US active military/NATO members since 1960, office at Ramstein-Miesenbach (Kaiserslautern office also at Kaiserstr. 34); active site + current 2026 Find-It Guide listing, no closure signal"
2026-09-11,Stephen F. Mitchell CPA,legal-business,kaiserslautern,,skipped_no_email,"US international tax CPA based Ramstein-Miesenbach/San Diego, cooperates with RFP Steuerberatung (already contacted separately) - every search result returned only a redacted/masked placeholder address, not a real one; use https://www.stephenmitchellcpa.net/contact-us form instead, worth a follow-up look at the live page next run"
2026-09-11,taxpatation,legal-business,kaiserslautern,,skipped_no_email,"Expat tax service advertising NATO SOFA expertise + 10% military discount for KMC-area clients, but registered address (ProvenExpert) is Parsberg, Bavaria - 300+ km from KMC, plus no published email found (inquiry form only at taxpatation.com/inquiry/); logged so it isn't re-researched, worth reassessing location fit before ever emailing"
2026-09-11,Milinsure,legal-business,kaiserslautern,,researched,"US military car insurance company w/ dedicated Ramstein/Kaiserslautern/Stuttgart/Hohenfels pages, English-speaking team, quote-in-60-seconds - no published email found in search snippets (site mentions phone/email/WhatsApp contact but address not surfaced); worth checking milinsure.com's contact page directly next run"
2026-09-14,Benny's Doggy Depot,shopping,kaiserslautern,kaiserslautern@bennys-doggy-depot.com,sent,"Pet grooming salon chain (founded 2010) with dedicated English-language site section covering Kaiserslautern/Landstuhl/Ramstein AB locations - 4.5/5 on golocal, 4.27/5 on 11880, Yelp updated May 2026; note Landstuhl location specifically may be mid-relocation per one source but Kaiserslautern location clearly active, no permanent-closure signal for the business overall"
2026-09-14,eBike Store Kaiserslautern (Jörg Beilfuß e.K.),shopping,kaiserslautern,kontakt@ebike-store-kl.de,sent,"E-bike shop in central Kaiserslautern (Im Haderwald 11) with a dedicated page explicitly for US customers plus a full English site version; 500+ bikes in stock, active Sale page, positive reviews (friendly/competent staff, fair pricing), no closure signal"
2026-09-14,Gärtnerei Hanns,shopping,kaiserslautern,gaertnerei-hanns@t-online.de,sent,"Garden center with a Landstuhl location (Am Köhlwäldchen 3) keeping an English-speaking staff member on hand specifically for American military customers; active site/shop/Facebook, only a seasonal winter-break closure found, no permanent-closure signal"
2026-09-14,J. Blaze (Stevo John),home-services,kaiserslautern,johnstevo61@gmail.com,sent,"Moving/cleaning/lawn-care/landscaping/trash-removal company founded 2017 specifically to help military families in Kaiserslautern live comfortably, covers Ramstein/Landstuhl/Baumholder/Weilerbach/Wiesbaden/Spangdahlem; active LinkedIn (Managing Director Stevo John) + site, recent positive reviews (yard cleanup turnaround), no closure signal - checked for the same trust-pattern flag as Move Clean Perfect (09-09) and found none (consistent personal name/email, no mismatched country-code phone numbers)"
2026-09-14,Gear Up Sports Store,shopping,kaiserslautern,,researched,"Sports apparel/gear/heat-press shop - confirmed located INSIDE Ramstein AB (Building 2113, Mitchell Ave), base-access/military-ID only, no off-base storefront found - same poor fit for an off-base-facing public directory as Patch Thrift Shop/RESA/KLSA precedent; logged so it isn't re-researched, not recommended without owner input"
2026-09-15,Chiropractic White Ramstein (Dr. Renee White & Dr. Erik White),healthcare,kaiserslautern,Bestchiro@praxiswhite.com,sent,"Both doctors trained at Palmer College of Chiropractic (Iowa); practice on Landstuhler Str. 1A Ramstein-Miesenbach offers chiropractic/massage/acupuncture for everyday patients, pro-sports clients, pregnant moms and babies; Yelp updated Jan 2026, no closure signal"
2026-09-15,American Ramstein Chiropractic (Dr. Tim Holmes),healthcare,kaiserslautern,info@chiroarc.com,sent,"Dr. Holmes has practiced chiropractic 30+ years, opened ARC specifically in Ramstein-Miesenbach (Schulstr. 2) in 2021; active site chiroarc.com + business directory listings, no closure signal"
2026-09-15,EO-Chiropractic (Erin Odgers DC),healthcare,kaiserslautern,info@eo-chiropractic.com,sent,"Founded 2017 in Ramstein (Steinwendener Str. 8a) after working the local area since 2014 - chiropractic + soft tissue/massage/PT under one roof; active site/Facebook (100% recommend, 9 reviews), no closure signal"
2026-09-15,Family Dental Practice (Dr. Tam Hager),healthcare,kaiserslautern,,skipped_no_email,"American-trained (retired Army COL, 28 yrs Dental Corps) dentist at Liebigstr. 1, Kaiserslautern-Einsiedlerhof, minutes from Vogelweh/Ramstein - no genuinely published email found; search tool suggested contact@hagerdental.com but that string does not actually appear anywhere in search results (verified via direct search for the exact address) and drhager.com is an unrelated, unaffiliated dentist in Konstanz with the same surname - do not reuse that or any Hager-adjacent email without direct confirmation. Phone 0631 41464960 only for now"
2026-09-15,Chiropraxis White Kaiserslautern (Ingrid E. White & Eva D. White),healthcare,kaiserslautern,,researched,"Same White family as Chiropractic White Ramstein (sent today) but a distinct 35-year practice/location in central Kaiserslautern (Lutrinastrasse) - held back to avoid two same-family emails same day; queued for a future run with its own contact email research (chiropractic-white.com contact page not yet checked directly)"
